date,subways_total_estimated_ridership
2020-03-01,2212965
2020-03-02,5329915
2020-03-03,5481103
2020-03-04,5498809
2020-03-05,5496453
2020-03-06,5189447
2020-03-07,2814637
2020-03-08,2120656
2020-03-09,4973513
2020-03-10,4867818
2020-03-11,4697122
2020-03-12,4149505
2020-03-13,3484996
2020-03-14,1670665
2020-03-15,1157711
2020-03-16,2178555
2020-03-17,1788786
2020-03-18,1625280
2020-03-19,1422112
2020-03-20,1309125
2020-03-21,619618
2020-03-22,408723
2020-03-23,709499
2020-03-24,741587
2020-03-25,690032
2020-03-26,680360
2020-03-27,656817
2020-03-28,332393
2020-03-29,263700
2020-03-30,545215
2020-03-31,508106
2020-04-01,513481
2020-04-02,485586
2020-04-03,483357
2020-04-04,282278
2020-04-05,227303
2020-04-06,445454
2020-04-07,434986
2020-04-08,427485
2020-04-09,404635
2020-04-10,400275
2020-04-11,257061
2020-04-12,198399
2020-04-13,363312
2020-04-14,430155
2020-04-15,419059
2020-04-16,420223
2020-04-17,432368
2020-04-18,254453
2020-04-19,224411
2020-04-20,437852
2020-04-21,422107
2020-04-22,458781
2020-04-23,453520
2020-04-24,443956
2020-04-25,295387
2020-04-26,218787
2020-04-27,462888
2020-04-28,489247
2020-04-29,477799
2020-04-30,465869
2020-05-01,494549
2020-05-02,325865
2020-05-03,258865
2020-05-04,511866
2020-05-05,522085
2020-05-06,508824
2020-05-07,535073
2020-05-08,526054
2020-05-09,316883
2020-05-10,271947
2020-05-11,520873
2020-05-12,553372
2020-05-13,565377
2020-05-14,567392
2020-05-15,587808
2020-05-16,360844
2020-05-17,287418
2020-05-18,595469
2020-05-19,610884
2020-05-20,623749
2020-05-21,629298
2020-05-22,633883
2020-05-23,335830
2020-05-24,320015
2020-05-25,393918
2020-05-26,656766
2020-05-27,674465
2020-05-28,658057
2020-05-29,657259
2020-05-30,426737
2020-05-31,344426
2020-06-01,687162
2020-06-02,693760
2020-06-03,681714
2020-06-04,726672
2020-06-05,703576
2020-06-06,464198
2020-06-07,377990
2020-06-08,804542
2020-06-09,842306
2020-06-10,857015
2020-06-11,818297
2020-06-12,896658
2020-06-13,545316
2020-06-14,430439
2020-06-15,897112
2020-06-16,932671
2020-06-17,948461
2020-06-18,942382
2020-06-19,986929
2020-06-20,576075
2020-06-21,449497
2020-06-22,1000046
2020-06-23,1050786
2020-06-24,1068333
2020-06-25,1078796
2020-06-26,1102382
2020-06-27,615398
2020-06-28,535898
2020-06-29,1100769
2020-06-30,1113124
2020-07-01,1120537
2020-07-02,1170483
2020-07-03,851877
2020-07-04,591605
2020-07-05,533692
2020-07-06,1084956
2020-07-07,1157185
2020-07-08,1172279
2020-07-09,1211280
2020-07-10,1030632
2020-07-11,692977
2020-07-12,628187
2020-07-13,1175700
2020-07-14,1241080
2020-07-15,1248413
2020-07-16,1249128
2020-07-17,1207265
2020-07-18,778936
2020-07-19,584994
2020-07-20,1156735
